event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,temperature_c,soil_water_layer_1,soil_water_layer_2,surface_pressure_hpa
1987,2010-06-15 00:00:00,"rails between Mahur and Wadringdisa(?), Assam","rails between Mahur and Wadringdisa(?), Assam",Assam,landslide,downpour,medium,unknown,0.0,,93.1658,25.2269,89.81151878833771,394.67523992061615,854.3520346283913,22.704309082031273,0.5025361180305481,0.5025151371955872,907.604296875
1986,2010-06-15 00:00:00,"Fazl Ali College, Mokokchung, Nagaland","Fazl Ali College, Mokokchung, Nagaland",Nagaland,landslide,downpour,medium,unknown,0.0,,94.5512,26.3335,215.8115804195404,587.7396166324615,1101.7821319401264,22.627160644531273,0.4858468472957611,0.4951852262020111,889.0984375
1994,2010-06-16 00:00:00,"rails between Jatinga and Longrangjao(?), Assam","rails between Jatinga and Longrangjao(?), Assam",Assam,landslide,downpour,medium,unknown,0.0,,92.8025,25.0633,131.3951462507248,566.4468854665756,1263.8492733240128,22.654901123046898,0.4640636444091797,0.4692554473876953,930.14
1996,2010-06-17 19:30:00,"Shayoung Ward(?), Longleng, Nagaland","Shayoung Ward(?), Longleng, Nagaland",Nagaland,landslide,downpour,medium,unknown,0.0,,94.8833,26.4333,210.00249683856964,496.9129338860512,1318.4428438544273,22.756768798828148,0.4525095522403717,0.4590231478214264,881.296640625
2026,2010-06-28 00:00:00,"Borsorsa(?), West Khasi Hills, Meghalaya","Borsorsa(?), West Khasi Hills, Meghalaya",Meghalaya,landslide,downpour,medium,unknown,0.0,,91.2698,25.4916,1417.6218509674072,3779.7738313674927,5833.89438688755,20.550103759765648,0.48508772253990173,0.5016244053840637,862.78875
2025,2010-06-28 00:00:00,"Police CID complex(?), Shillong, Meghalaya","Police CID complex(?), Shillong, Meghalaya",Meghalaya,landslide,downpour,medium,unknown,1.0,,91.885,25.5728,977.6756763458252,2272.6629972457886,4899.800419807434,21.367486572265648,0.4791851043701172,0.5005893707275391,871.840390625
2045,2010-07-06 00:00:00,"Tuensang, Nagaland","Tuensang, Nagaland",Nagaland,mudslide,monsoon,medium,unknown,0.0,,94.8133,26.2363,68.67000460624695,288.69880735874176,1262.2705101966858,19.955133056640648,0.5002772212028503,0.49726995825767517,835.545703125
2043,2010-07-06 00:00:00,"Mon, Nagaland","Mon, Nagaland",Nagaland,mudslide,monsoon,medium,unknown,0.0,,95.0281,26.7225,126.08635425567627,436.5493059158325,1472.6831316947937,25.214501953125023,0.4619840085506439,0.4863363802433014,932.467421875
2042,2010-07-06 00:00:00,"Zunheboto, Nagaland","Zunheboto, Nagaland",Nagaland,mudslide,monsoon,medium,unknown,0.0,,94.5238,26.0093,50.629183650016785,233.46418142318726,1127.7505159378052,22.127832031250023,0.49355506896972656,0.48504891991615295,874.7565625
2044,2010-07-06 00:00:00,"Kiphire,  Nagaland","Kiphire,  Nagaland",Nagaland,mudslide,monsoon,medium,unknown,0.0,,94.7861,25.8877,110.69531738758087,413.5757237672806,1243.1840151548386,22.757806396484398,0.5044898986816406,0.49275460839271545,888.9328125
