event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude
5476,2013-09-07 15:00:00,14 Milestone Of J N Marg Near Kyangnosola (East Sikkim),14 Milestone Of J N Marg Near Kyangnosola (East Sikkim),Sikkim,landslide,rain,medium,unknown,0.0,,88.7323,27.3736
5552,2013-09-24 00:00:00,"Ukhrul, Manipur","Ukhrul, Manipur",Manipur,landslide,unknown,medium,unknown,,,94.3619,25.0985
5575,2013-10-05 23:00:00,"Chiechama, Nagaland","Chiechama, Nagaland",Nagaland,mudslide,continuous_rain,medium,unknown,0.0,,94.1497,25.8266
5584,2013-10-06 00:00:00,"Nilachal Hill, Guwahati, Assam","Nilachal Hill, Guwahati, Assam",Assam,landslide,downpour,medium,unknown,0.0,,91.7049,26.1665
5582,2013-10-06 12:45:00,"Batahguli, Guwahati, Assam","Batahguli, Guwahati, Assam",Assam,landslide,downpour,medium,unknown,1.0,,91.8383,26.1309
5603,2013-10-13 19:30:00,"Tusom, Manipur","Tusom, Manipur",Manipur,mudslide,downpour,medium,unknown,0.0,,94.6024,25.426
6015,2014-05-08 00:00:00,Lohit District of Arunachal Pradesh,Lohit District of Arunachal Pradesh,Arunachal Pradesh,mudslide,rain,medium,above_road,0.0,0.0,96.174,27.9032
6016,2014-05-09 23:00:00,"Satgarakul Village, Karimganj, Assam State","Satgarakul Village, Karimganj, Assam State",Assam,landslide,rain,small,unknown,7.0,0.0,92.3576,24.8669
6105,2014-06-26 23:00:00,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh,landslide,continuous_rain,medium,above_road,0.0,0.0,95.3429,28.9205
6106,2014-06-26 23:00:00,Narakasur,Narakasur,Assam,landslide,continuous_rain,small,unknown,3.0,0.0,91.7645,26.1407
6107,2014-06-26 23:00:00,Bamunimaidam,Bamunimaidam,Assam,landslide,continuous_rain,small,unknown,1.0,0.0,91.7896,26.1844
6110,2014-06-27 00:00:00,"Bhangagarh, Assam","Bhangagarh, Assam",Assam,landslide,rain,small,unknown,3.0,0.0,91.7697,26.1619
6112,2014-06-28 09:00:00,"Kharghuli Hills, Assam","Kharghuli Hills, Assam",Assam,landslide,rain,medium,unknown,0.0,0.0,91.7652,26.1964
6143,2014-07-14 18:00:00,"Zembabawk, Aizawl","Zembabawk, Aizawl",Mizoram,landslide,downpour,medium,unknown,1.0,2.0,92.7463,23.7327
6513,2014-08-14 23:00:00,Sabroom,Sabroom,Tripura,mudslide,downpour,medium,unknown,3.0,0.0,91.7174,23.0137
6200,2014-08-17 00:00:00,Arunachal Pradesh/Itanagar,Arunachal Pradesh/Itanagar,Arunachal Pradesh,landslide,downpour,large,unknown,0.0,0.0,93.6086,27.0869
6331,2014-09-08 00:00:00,Kiphire-Seyochung road near Yangzitong village,Kiphire-Seyochung road near Yangzitong village,Nagaland,mudslide,unknown,medium,unknown,0.0,0.0,94.6279,25.9466
6291,2014-09-21 00:00:00,National Highway 51,National Highway 51,Meghalaya,landslide,continuous_rain,large,unknown,0.0,0.0,90.3852,25.7354
6286,2014-09-22 00:00:00,Garchuk,Garchuk,Assam,landslide,rain,small,unknown,0.0,0.0,91.7082,26.1044
6282,2014-09-22 00:00:00,Lalmati,Lalmati,Assam,landslide,rain,small,urban,1.0,0.0,91.7747,26.1097
6287,2014-09-22 00:00:00,Dhirenpara,Dhirenpara,Assam,landslide,rain,small,unknown,0.0,0.0,91.7056,26.1295
6289,2014-09-22 00:00:00,Pamohi,Pamohi,Assam,landslide,rain,small,unknown,0.0,0.0,91.6849,26.1001
6283,2014-09-22 00:00:00,Dakhingaon,Dakhingaon,Assam,landslide,rain,small,unknown,0.0,0.0,91.7548,26.1314
6285,2014-09-22 00:00:00,VIP Road,VIP Road,Assam,landslide,rain,small,above_road,0.0,0.0,91.8178,26.159
6288,2014-09-22 00:00:00,Noonmati,Noonmati,Assam,landslide,rain,small,unknown,0.0,0.0,91.7998,26.1985
6284,2014-09-22 00:00:00,Batahghuli,Batahghuli,Assam,landslide,rain,small,unknown,0.0,1.0,91.8342,26.1324
6292,2014-09-23 00:00:00,Hatsingimari,Hatsingimari,Assam,landslide,continuous_rain,small,unknown,1.0,0.0,89.9032,25.7238
6290,2014-09-23 03:00:00,Mawbah under Mawprem area,Mawbah under Mawprem area,Meghalaya,landslide,continuous_rain,small,urban,8.0,1.0,91.8666,25.5772
6213,2014-09-24 00:00:00,Meghalaya,Meghalaya,Meghalaya,landslide,continuous_rain,large,unknown,0.0,0.0,90.5763,25.8143
6222,2014-10-01 11:00:00,Karsingsa block point,Karsingsa block point,Arunachal Pradesh,landslide,unknown,small,above_road,5.0,0.0,93.7706,27.1249
